restaurantID,linkNumber,cityCode,restaurantName,restaurantRating,openingTime,closingTime,restaurantAddress,latitude,longitude,restaurantImage,city
r60,60,r,Sufi Naan Center,4/5 Stars,9:00 AM, 9:30 pm,"Shop No. P-1269, Kartarpura Food Street, Rawalpindi, 46000 Rawalpindi",33.6230701,73.062496,https://images.deliveryhero.io/image/fd-pk/LH/h6jz-hero.jpg,Rawalpindi
r61,61,r,Gyro Home Chef,4.2/5 Stars,2:00 PM, 11:59 pm,", street no 14  Dhoke Banaras millat abbad Rawalpindi, 46000 Rawalpindi",33.59371975,73.0142123,https://images.deliveryhero.io/image/fd-pk/LH/l2v9-hero.jpg,Rawalpindi
r62,62,r,Khan Refreshment,4.2/5 Stars,1:00 PM, 11:59 pm,"Muhamdi Chwok near ghafoor bakers, 46000 Rawalpindi",33.6297126,73.0499983,https://images.deliveryhero.io/image/fd-pk/LH/j365-hero.jpg,Rawalpindi
r63,63,r,Albarkat Restaurant,4.2/5 Stars,9:00 AM, 11:59 pm,"Riaz Plaza, Near Bilal Masjid, Main Road Pirwadhai rawalpindi, 46060 Rawalpindi",33.63197305,73.03797185,https://images.deliveryhero.io/image/fd-pk/LH/t7od-hero.jpg,Rawalpindi
r65,65,r,Italian Pizza - Scheme 3,3.8/5 Stars,1:30 PM, 11:59 pm,"Shop No.1, Khawaja Tower, Imran Khan Avenue Scheme 3, Rawalpindi, 46000 Rawalpindi",33.5863845,73.0884478,https://images.deliveryhero.io/image/fd-pk/LH/m8qt-hero.jpg,Rawalpindi
r67,67,r,Ali Shah Food Point,5/5 Stars,1:00 PM, 11:59 pm,"Backside of Tehzeeb Bakers, Near Bank Al Habib, Saba Plaza Bank Road, rawalpindi, 46000 Rawalpindi",33.5976356,73.0487825,https://images.deliveryhero.io/image/fd-pk/LH/bqa0-hero.jpg,Rawalpindi
r68,68,r,Chaudhary Jee Food and Fries,3.4/5 Stars,3:30 PM, 11:00 pm,"House No 9, Street No 6-A, Hill View Lane, Adiala Road, Rawalpindi, 46000 Rawalpindi",33.5472293,73.05832265,https://images.deliveryhero.io/image/fd-pk/LH/w8qj-hero.jpg,Rawalpindi
r69,69,r,Zuchee's,3.1/5 Stars,12:00 AM, 2:00 am,"Shop# P 212 - P 215, Near Allied Bank, Main Jamia Masjid Road, Rawalpindi, 46000 Rawalpindi",33.6210275,73.0597679,https://images.deliveryhero.io/image/fd-pk/LH/i6oc-hero.jpg,Rawalpindi
r70,70,r,Reja's desi Corner,3.5/5 Stars,1:00 PM, 11:59 pm,"House no 134/11 babu muhallah saddar Rawalpindi, 46000 Rawalpindi",33.5995,73.0533889,https://images.deliveryhero.io/image/fd-pk/LH/p02d-hero.jpg,Rawalpindi
r71,71,r,Karachi Tikka House & Roll Paratha,4.3/5 Stars,4:00 PM, 11:59 pm,"Shop No. P-462, Mohallah Raja Kala Khan, Imambara Road, Pir Chouha Chowk,  Rawalpindi, 46000 Rawalpindi",33.6235411,73.0590491,https://images.deliveryhero.io/image/fd-pk/LH/c776-hero.jpg,Rawalpindi
r73,73,r,Sajjad Pakwan,4/5 Stars,12:00 PM, 11:00 pm,"Abid Majeed Road, Opp Sultan Complex, Rawalpindi, 46000 Rawalpindi",33.58617113,73.0332093,https://images.deliveryhero.io/image/fd-pk/LH/c4kk-hero.jpg,Rawalpindi
r74,74,r,Potato Ones,3.5/5 Stars,2:00 PM, 11:59 pm,"Shop no# 18 Ali shopping Mall Misriyal Road Rawalpindi, 46000 Rawalpindi",33.6018838,73.0024082,https://images.deliveryhero.io/image/fd-pk/LH/v6ql-hero.jpg,Rawalpindi
r75,75,r,Crunchies Fast Food Lalazar,4/5 Stars,12:30 PM, 11:00 pm,"Opposite Pizza Mania Tulsa Road Lalazar Rawalpindi, 46000 Rawalpindi",33.721326,73.057781,https://images.deliveryhero.io/image/fd-pk/LH/u5zr-hero.jpg,Rawalpindi
r76,76,r,Tayyab Pulao Kabab,4.1/5 Stars,1:00 PM, 11:59 pm,"Azeem Plaza, near shell petrol pump, Bostan khan road, Rawalpindi, 46000 Rawalpindi",33.5840244,73.0955691,https://images.deliveryhero.io/image/fd-pk/LH/w2cz-hero.jpg,Rawalpindi
r77,77,r,Second Girlfriend,4/5 Stars,5:45 PM, 11:00 pm,"shop no. 4, khada market, opposite grand pearl marquee adyala road rawalpindi, 46000 Rawalpindi",33.546635,73.0540397,https://images.deliveryhero.io/image/fd-pk/LH/qeoh-hero.jpg,Rawalpindi
r78,78,r,Punjab foods,4.2/5 Stars,11:00 AM, 11:59 pm,"Punjab foods murgh pulao tipu road nazad international bakers, 43600 Rawalpindi",33.6040961,73.0746832,https://images.deliveryhero.io/image/fd-pk/LH/no8w-hero.jpg,Rawalpindi
r79,79,r,Pak Virsa Restaurant,3.9/5 Stars,1:30 PM, 11:00 pm,"1st Floor, Panorama Center, Aziz Bhatti Shaheed Road, Lalkurti, 46000 Rawalpindi",33.5817989,73.05948445,https://images.deliveryhero.io/image/fd-pk/LH/ar97-hero.jpg,Rawalpindi
