foodID,restaurantID,foodNumber,linkNumber,cityCode,foodName,foodPrice,foodImage,city
r5378,r2,5378,2,r,Karachi  Biryani ,from Rs. 190,https://images.deliveryhero.io/image/fd-pk/Products/5772973.jpg?width=200,Rawalpindi
r5379,r2,5379,2,r,Chicken Haleem,from Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/5773082.jpg?width=200,Rawalpindi
r5380,r2,5380,2,r, Chicken Pulao ,from Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5772977.jpg?width=200,Rawalpindi
r5381,r2,5381,2,r,Haleem Palao,from Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5875618.jpg?width=200,Rawalpindi
r5382,r2,5382,2,r,Haleem  Biryani,from Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/5875358.jpg?width=200,Rawalpindi
r5383,r2,5383,2,r,Karachi  Biryani ,from Rs. 190,https://images.deliveryhero.io/image/fd-pk/Products/5772973.jpg?width=200,Rawalpindi
r5384,r2,5384,2,r,Chicken Haleem,from Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/5773082.jpg?width=200,Rawalpindi
r5385,r2,5385,2,r,Tandoori Roti Simple,Rs. 25,https://images.deliveryhero.io/image/fd-pk/Products/6023612.jpg?width=200,Rawalpindi
r5386,r3,5386,3,r,Chicken Tikka Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813976.jpg?width=200,Rawalpindi
r5387,r3,5387,3,r,Smack Special Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813974.jpg?width=200,Rawalpindi
r5388,r3,5388,3,r,Smoked Chicken Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813977.jpg?width=200,Rawalpindi
r5389,r3,5389,3,r, Chicken Fajita 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814044.jpg?width=200,Rawalpindi
r5390,r3,5390,3,r, Chicken Tikka 9inch Deep  Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814046.jpg?width=200,Rawalpindi
r5391,r3,5391,3,r,Grilled Chicken 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814043.jpg?width=200,Rawalpindi
r5392,r3,5392,3,r,Smack Deal 1,Rs. 599,https://images.deliveryhero.io/image/fd-pk/Products/6675830.jpg?width=200,Rawalpindi
r5393,r3,5393,3,r,Smack Deal 5,Rs. 599,https://images.deliveryhero.io/image/fd-pk/Products/6758982.jpg?width=200,Rawalpindi
r5394,r3,5394,3,r,Smack Deal 2,Rs. 425,https://images.deliveryhero.io/image/fd-pk/Products/6758978.jpg?width=200,Rawalpindi
r5395,r3,5395,3,r,BBQ Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5822772.jpg?width=200,Rawalpindi
r5396,r3,5396,3,r,Beef Pepperoni Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/6332598.jpg?width=200,Rawalpindi
r5397,r3,5397,3,r,Chicken Fajita Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813975.jpg?width=200,Rawalpindi
r5398,r3,5398,3,r,Chicken Pepperoni Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813978.jpg?width=200,Rawalpindi
r5399,r3,5399,3,r,Chicken Tikka Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813976.jpg?width=200,Rawalpindi
r5400,r3,5400,3,r,Jamaica  Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5822782.jpg?width=200,Rawalpindi
r5401,r3,5401,3,r,Margarita Cheese Lover Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5822752.jpg?width=200,Rawalpindi
r5402,r3,5402,3,r,Roasted Beef Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5822776.jpg?width=200,Rawalpindi
r5403,r3,5403,3,r,Shahi Chicken Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5822755.jpg?width=200,Rawalpindi
r5404,r3,5404,3,r,Smack Special Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813974.jpg?width=200,Rawalpindi
r5405,r3,5405,3,r,Smoked Chicken Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5813977.jpg?width=200,Rawalpindi
r5406,r3,5406,3,r,Veggie Lover Pizza,"Rs. 891.65Rs. 1,049",https://images.deliveryhero.io/image/fd-pk/Products/5822758.jpg?width=200,Rawalpindi
r5407,r3,5407,3,r,Kids Deal 2,"Rs. 1,299",https://images.deliveryhero.io/image/fd-pk/Products/6713508.jpg?width=200,Rawalpindi
r5408,r3,5408,3,r, Cheese Lover 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814122.jpg?width=200,Rawalpindi
r5409,r3,5409,3,r, Chicken Fajita 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814044.jpg?width=200,Rawalpindi
r5410,r3,5410,3,r, Chicken Tikka 9inch Deep  Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814046.jpg?width=200,Rawalpindi
r5411,r3,5411,3,r,BBQ 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814120.jpg?width=200,Rawalpindi
r5412,r3,5412,3,r,Beef Pepperoni 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5822763.jpg?width=200,Rawalpindi
r5413,r3,5413,3,r,Beef Sausages 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5822774.jpg?width=200,Rawalpindi
r5414,r3,5414,3,r,Chicken Pepperoni 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814052.jpg?width=200,Rawalpindi
r5415,r3,5415,3,r,Grilled Chicken 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814043.jpg?width=200,Rawalpindi
r5416,r3,5416,3,r,Jamaica 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814124.jpg?width=200,Rawalpindi
r5417,r3,5417,3,r,Roasted Beef 9inch Deep  Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814121.jpg?width=200,Rawalpindi
r5418,r3,5418,3,r,Shahi Chicken 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814118.jpg?width=200,Rawalpindi
r5419,r3,5419,3,r,Smack Special 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5822753.jpg?width=200,Rawalpindi
r5420,r3,5420,3,r,Smoked Chicken 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814048.jpg?width=200,Rawalpindi
r5421,r3,5421,3,r,Veggie Lover 9inch Deep Pan Pizza,from Rs. 466.65Rs. 549,https://images.deliveryhero.io/image/fd-pk/Products/5814123.jpg?width=200,Rawalpindi
r5422,r3,5422,3,r,BBQ Pizza Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661850.jpg?width=200,Rawalpindi
r5423,r3,5423,3,r,Beef  Roasted Slice Of 21 ,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661853.jpg?width=200,Rawalpindi
r5424,r3,5424,3,r,Beef Sausages Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661852.jpg?width=200,Rawalpindi
r5425,r3,5425,3,r,Chapli Kabab Slice Of 21 ,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661849.jpg?width=200,Rawalpindi
r5426,r3,5426,3,r,Cheese Lover Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661855.jpg?width=200,Rawalpindi
r5427,r3,5427,3,r,Chicken Fajita Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661845.jpg?width=200,Rawalpindi
r5428,r3,5428,3,r,Chicken Pepperoni Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661847.jpg?width=200,Rawalpindi
r5429,r3,5429,3,r,Chicken Tikka Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661844.jpg?width=200,Rawalpindi
r5430,r3,5430,3,r,Grilled Chicken Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661843.jpg?width=200,Rawalpindi
r5431,r3,5431,3,r,Jamaica Slice Of 21 ,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661857.jpg?width=200,Rawalpindi
r5432,r3,5432,3,r,Shahi Chicken Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661848.jpg?width=200,Rawalpindi
r5433,r3,5433,3,r,Smack Special Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661740.jpg?width=200,Rawalpindi
r5434,r3,5434,3,r,Smoked Chicken Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661846.jpg?width=200,Rawalpindi
r5435,r3,5435,3,r,Smoked Turkey Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661858.jpg?width=200,Rawalpindi
r5436,r3,5436,3,r,Veggie Lover Slice Of 21,Rs. 339.15Rs. 399,https://images.deliveryhero.io/image/fd-pk/Products/5661856.jpg?width=200,Rawalpindi
r5437,r3,5437,3,r,Smack Pizza Roll,Rs. 299,https://images.deliveryhero.io/image/fd-pk/Products/5660679.jpg?width=200,Rawalpindi
r5438,r3,5438,3,r,Garlic Wings,Rs. 320,https://images.deliveryhero.io/image/fd-pk/Products/6758994.jpg?width=200,Rawalpindi
r5439,r3,5439,3,r,BBQ Wing,Rs. 299,https://images.deliveryhero.io/image/fd-pk/Products/6758992.jpg?width=200,Rawalpindi
r5440,r3,5440,3,r,Chicken Wings,Rs. 275,https://images.deliveryhero.io/image/fd-pk/Products/6758991.jpg?width=200,Rawalpindi
r5441,r3,5441,3,r,Cruchy Patty Burger,Rs. 350,https://images.deliveryhero.io/image/fd-pk/Products/6758999.jpg?width=200,Rawalpindi
r5442,r3,5442,3,r,Mega Crispy Burger,Rs. 300,https://images.deliveryhero.io/image/fd-pk/Products/6758998.jpg?width=200,Rawalpindi
r5443,r3,5443,3,r,Beef Burger,Rs. 280,https://images.deliveryhero.io/image/fd-pk/Products/6759001.jpg?width=200,Rawalpindi
r5444,r3,5444,3,r,Smack Zinger Burger,Rs. 199,https://images.deliveryhero.io/image/fd-pk/Products/6675824.jpg?width=200,Rawalpindi
r5445,r3,5445,3,r,Tikka Fajita Burger,Rs. 199,https://images.deliveryhero.io/image/fd-pk/Products/6759002.jpg?width=200,Rawalpindi
r5446,r3,5446,3,r,Spicy Cheese Roll Paratha,Rs. 250,https://images.deliveryhero.io/image/fd-pk/Products/6758989.jpg?width=200,Rawalpindi
r5447,r3,5447,3,r,Chicken Garlic Roll Paratha,Rs. 220,https://images.deliveryhero.io/image/fd-pk/Products/6758988.jpg?width=200,Rawalpindi
r5448,r3,5448,3,r,Chicken Roll Paratha,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/6758987.jpg?width=200,Rawalpindi
