reviewID,restaurantID,reviewNumber,linkNumber,cityCode,reviewBy,reviewRating,reviewAt,reviewDescription,city
i332,i4,332,4,i,arooj,3/5 Stars,18-02-21,Subs are good but pls add options for sauces to select. Not all people like same sauces and salad options.,Islamabad
i333,i4,333,4,i,Nouman,5/5 Stars,13-02-21,The pizza was tasty. Although it didn't seem 8in.,Islamabad
i334,i4,334,4,i,Ahmad,3/5 Stars,12-02-21,"Despite of extra chicken add on, there ware few pieces of chicken, also, the pizza was over baked,",Islamabad
i335,i4,335,4,i,Tassadduq,1/5 Stars,01-11-20,Fazool tareen pizza,Islamabad
i336,i4,336,4,i,Tanzeel,4/5 Stars,14-08-20,Pizza size was small than the actual order.,Islamabad
i337,i4,337,4,i,Rameez,5/5 Stars,21-06-20,"Tried again consistent good food, hope they keep up the quality",Islamabad
i338,i4,338,4,i,Rameez,5/5 Stars,20-06-20,Awesome pizza,Islamabad
i339,i4,339,4,i,Ashar,1/5 Stars,20-02-20,Very bad experience. I didn't get what it was in deal. Got 6 inches pizza instead of 8 inches. It was chicken pizza instead of buffalo supreme. Cold drink was 345ml instead of 500ml as committed in deal.,Islamabad
i340,i4,340,4,i,Asim,1/5 Stars,08-02-20,"Very bad experience, i order beef pizza and they delivered chicken pizza which had very bad quality! Don't order from this restaurant again .",Islamabad
i341,i5,341,5,i,Haider,3/5 Stars,14-09-21,Food was too spicy,Islamabad
i342,i5,342,5,i,Rida,5/5 Stars,04-09-21,Ordered Kung Pao Chicken with Egg Fried Rice. It was fresh and tasted good. Standard is back to being okay as usual again.,Islamabad
i343,i5,343,5,i,kanwal,2/5 Stars,04-09-21,I have been ordering from them for some now and their quality of food has dropped. There was large stapple pin in my food and tofu was stale and tasted bad.,Islamabad
i344,i5,344,5,i,Ayesha,1/5 Stars,31-08-21,Worst experience ever.,Islamabad
i345,i5,345,5,i,Tahir,1/5 Stars,30-08-21,It seems someone just started cooking,Islamabad
i346,i5,346,5,i,Amer,5/5 Stars,30-08-21,"Ordered from this place a couple of times and the quality of food is excellent. However, just want to point out that Kung Pao has peanuts in it which were missing in the one I ordered.",Islamabad
i347,i5,347,5,i,Sundas,3/5 Stars,29-08-21,Food wasn’t that fresh,Islamabad
i348,i5,348,5,i,Rida,4/5 Stars,27-08-21,"Okay and fresh. Still messing with my order. Acha khassa jaa raha tha mamla, achanak aap logon ko zidd ho gayi hay mujhsay.",Islamabad
i349,i5,349,5,i,Ibrahim,5/5 Stars,25-08-21,Good food,Islamabad
i350,i5,350,5,i,Danish,3/5 Stars,25-08-21,"The taste was alright. Egg fried rice were basically vegetable rice. There was however a strong aftertaste in the chicken which wasn't pleasant.

Not bad but nothing special.",Islamabad
i351,i5,351,5,i,Rida,1/5 Stars,21-08-21,Half of my Chicken Chilli Dry was missing!! And there was no plastic wrap over the containers. First time I had a problem with this place and it's disappointing.,Islamabad
i352,i5,352,5,i,Syed,3/5 Stars,21-08-21,More haddi less chicken,Islamabad
