foodID,restaurantID,foodNumber,linkNumber,cityCode,foodName,foodPrice,foodImage,city
l4815,l1,4815,1,l,Karak Chai,Rs. 195,https://images.deliveryhero.io/image/fd-pk/Products/7142004.jpg?width=200,Lahore
l4816,l1,4816,1,l,Tandoori Paratha,Rs. 175,https://images.deliveryhero.io/image/fd-pk/Products/7141887.jpg?width=200,Lahore
l4817,l1,4817,1,l,Kalonji Naan,Rs. 115,https://images.deliveryhero.io/image/fd-pk/Products/7141883.jpg?width=200,Lahore
l4818,l1,4818,1,l,Roghni Nan,Rs. 85,https://images.deliveryhero.io/image/fd-pk/Products/7141885.jpg?width=200,Lahore
l4819,l1,4819,1,l,Tandoori Roti,Rs. 55,https://images.deliveryhero.io/image/fd-pk/Products/7141888.jpg?width=200,Lahore
l4820,l1,4820,1,l,Qeema Naan,Rs. 545,https://images.deliveryhero.io/image/fd-pk/Products/7141882.jpg?width=200,Lahore
l4821,l1,4821,1,l,Garlic Naan,Rs. 115,https://images.deliveryhero.io/image/fd-pk/Products/7141884.jpg?width=200,Lahore
l4822,l2,4822,2,l,Wrap Zinger Cheese Burger,Rs. 245Rs. 350,https://images.deliveryhero.io/image/fd-pk/Products/6643352.jpg?width=200,Lahore
l4823,l2,4823,2,l,Wrap Zinger Burger,Rs. 203Rs. 290,https://images.deliveryhero.io/image/fd-pk/Products/6643345.jpg?width=200,Lahore
l4824,l2,4824,2,l,Chicken Cheese Shawarma,Rs. 140Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/6752908.jpg?width=200,Lahore
l4825,l2,4825,2,l, Chicken Shawarma,Rs. 112Rs. 160,https://images.deliveryhero.io/image/fd-pk/Products/6643357.jpg?width=200,Lahore
l4826,l2,4826,2,l,Fries,from Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/6643448.jpg?width=200,Lahore
l4827,l2,4827,2,l,Deal 2,from Rs. 525Rs. 750,https://images.deliveryhero.io/image/fd-pk/Products/6643240.jpg?width=200,Lahore
l4828,l2,4828,2,l,Shawarma Deal,Rs. 280Rs. 400,https://images.deliveryhero.io/image/fd-pk/Products/6837151.jpg?width=200,Lahore
l4829,l2,4829,2,l,Chill Out Deal 1,Rs. 112Rs. 160,https://images.deliveryhero.io/image/fd-pk/Products/7226641.jpg?width=200,Lahore
l4830,l2,4830,2,l,Wrap Zinger Mighty Cheese Burger,Rs. 525Rs. 750,https://images.deliveryhero.io/image/fd-pk/Products/6752909.jpg?width=200,Lahore
l4831,l2,4831,2,l,Zinger Burger Combo 2,Rs. 332.50Rs. 475,https://images.deliveryhero.io/image/fd-pk/Products/6837138.jpg?width=200,Lahore
l4832,l2,4832,2,l,Zinger Burger Combo 1,Rs. 297.50Rs. 425,https://images.deliveryhero.io/image/fd-pk/Products/6837088.jpg?width=200,Lahore
l4833,l2,4833,2,l,Wrap Zinger Cheese Burger,Rs. 245Rs. 350,https://images.deliveryhero.io/image/fd-pk/Products/6643352.jpg?width=200,Lahore
l4834,l2,4834,2,l,Wrap Zinger Burger,Rs. 203Rs. 290,https://images.deliveryhero.io/image/fd-pk/Products/6643345.jpg?width=200,Lahore
l4835,l2,4835,2,l,Chicken Patty Burger,Rs. 175Rs. 250,https://images.deliveryhero.io/image/fd-pk/Products/6643354.jpg?width=200,Lahore
l4836,l2,4836,2,l,Anda Shami Burger,Rs. 112Rs. 160,https://images.deliveryhero.io/image/fd-pk/Products/6643353.jpg?width=200,Lahore
l4837,l2,4837,2,l, 2 Platter Shawarmas,Rs. 308Rs. 440,https://images.deliveryhero.io/image/fd-pk/Products/6643402.jpg?width=200,Lahore
l4838,l2,4838,2,l,Wrap Special Chicken Shawarma ,Rs. 175Rs. 250,https://images.deliveryhero.io/image/fd-pk/Products/6866424.jpg?width=200,Lahore
l4839,l2,4839,2,l,Zinger Cheese Shawarma,Rs. 175Rs. 250,https://images.deliveryhero.io/image/fd-pk/Products/6804734.jpg?width=200,Lahore
l4840,l2,4840,2,l,Chicken Cheese Shawarma,Rs. 140Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/6752908.jpg?width=200,Lahore
l4841,l2,4841,2,l,Zinger Shawarma,Rs. 140Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/6804727.jpg?width=200,Lahore
l4842,l2,4842,2,l, Chicken Shawarma,Rs. 112Rs. 160,https://images.deliveryhero.io/image/fd-pk/Products/6643357.jpg?width=200,Lahore
l4843,l2,4843,2,l,Wrap Zinger Chicken,from Rs. 290,https://images.deliveryhero.io/image/fd-pk/Products/6729044.jpg?width=200,Lahore
l4844,l2,4844,2,l,French Toast,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/6671284.jpg?width=200,Lahore
l4845,l2,4845,2,l,Mayo Garlic Fries,from Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/6795296.jpg?width=200,Lahore
l4846,l2,4846,2,l,Chicken Chapli Kabab,from Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/7220213.jpg?width=200,Lahore
l4847,l2,4847,2,l,Fries,from Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/6643448.jpg?width=200,Lahore
l4848,l2,4848,2,l,Masala Fries,Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/6795297.jpg?width=200,Lahore
l4849,l2,4849,2,l,Wrap Hot Zinger Wings,from Rs. 120,https://images.deliveryhero.io/image/fd-pk/Products/6766536.jpg?width=200,Lahore
l4850,l2,4850,2,l,Thousand Island Sauce,Rs. 50,https://images.deliveryhero.io/image/fd-pk/Products/6671286.jpg?width=200,Lahore
l4851,l2,4851,2,l,Chicken Seekh Kabab,from Rs. 203Rs. 290,https://images.deliveryhero.io/image/fd-pk/Products/6791250.jpg?width=200,Lahore
l4852,l2,4852,2,l,Omelette & Bread,Rs. 126Rs. 180,https://images.deliveryhero.io/image/fd-pk/Products/6729071.jpg?width=200,Lahore
l4853,l2,4853,2,l,Chicken Gola Kabab,from Rs. 119Rs. 170,https://images.deliveryhero.io/image/fd-pk/Products/6791252.jpg?width=200,Lahore
l4854,l2,4854,2,l,Double Egg Omelette & Plain Paratha,Rs. 119Rs. 170,https://images.deliveryhero.io/image/fd-pk/Products/6729076.jpg?width=200,Lahore
l4855,l2,4855,2,l,Anda Tikki,from Rs. 105Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/6782764.jpg?width=200,Lahore
l4856,l2,4856,2,l,Omelette ,from Rs. 56Rs. 80,https://images.deliveryhero.io/image/fd-pk/Products/6953621.jpg?width=200,Lahore
l4857,l2,4857,2,l,Fried Egg,Rs. 42Rs. 60,https://images.deliveryhero.io/image/fd-pk/Products/6782775.jpg?width=200,Lahore
l4858,l2,4858,2,l,Plain Paratha,Rs. 31.50Rs. 45,https://images.deliveryhero.io/image/fd-pk/Products/6782774.jpg?width=200,Lahore
l4859,l2,4859,2,l,Chapati,Rs. 21Rs. 30,https://images.deliveryhero.io/image/fd-pk/Products/6782766.jpg?width=200,Lahore
l4860,l2,4860,2,l,Soft Drink,Rs. 60,https://images.deliveryhero.io/image/fd-pk/Products/6795338.jpg?width=200,Lahore
