reviewID,restaurantID,reviewNumber,linkNumber,cityCode,reviewBy,reviewRating,reviewAt,reviewDescription,city
k2226,k11,2226,11,k,Millie,1/5 Stars,06-09-21,Very late delivery so disappointed,Karachi
k2227,k11,2227,11,k,Amin,1/5 Stars,30-08-21,Bakwas bryani tasteless 3rd class quality,Karachi
k2228,k13,2228,13,k,Alvina,5/5 Stars,22-06-21,Good packaging and rolls owsam,Karachi
k2229,k13,2229,13,k,MuhammadAli,5/5 Stars,18-06-21,Owsum,Karachi
k2230,k13,2230,13,k,Iblal,5/5 Stars,18-06-21,Extremely amazing food highly recommended,Karachi
k2231,k13,2231,13,k,Isma,2/5 Stars,16-06-21,Aloo samosa had no taste.,Karachi
k2232,k13,2232,13,k,Saaim,3/5 Stars,14-06-21,"Bhai agar discount dia huwa hi hai to drinks to thandi de do, boiled pepsi peene ka shauq nahi hai jaani",Karachi
k2233,k13,2233,13,k,Murtaza,5/5 Stars,27-05-21,Outstanding food ..,Karachi
k2234,k13,2234,13,k,Kanwal,2/5 Stars,21-05-21,"I ordered nuggets and chicken wontons from this place. Wontons were so flat and the filling was also so less. Taste was not  good. I wasted my money! 'But nuggets were tasty and good. 
Please improve the quality of wontons.",Karachi
k2235,k13,2235,13,k,Noman,4/5 Stars,08-05-21,Last time jb order kiya the tou qeema samosa ki jaga aloo samosa mila tha ab sahi receive,Karachi
k2236,k13,2236,13,k,Sumaira,1/5 Stars,04-05-21,Chesse wonton order kia hy piyaz bhar Kar day di na chesse tha na chicken tha taste  less than,Karachi
k2237,k13,2237,13,k,Iqra,3/5 Stars,02-05-21,Quantity of chicken and cheese is very least,Karachi
k2238,k13,2238,13,k,MuhammadAli,4/5 Stars,02-05-21,I guess storage temperature should be change..because nuggest were bit smelly,Karachi
k2239,k13,2239,13,k,Humza,3/5 Stars,30-04-21,I ordered chicken samosa and what i got was veg samosa,Karachi
k2240,k13,2240,13,k,Ambreen,1/5 Stars,30-04-21,Taste was so bad,Karachi
k2241,k13,2241,13,k,Ali,5/5 Stars,28-04-21,Best.recommended,Karachi
k2242,k13,2242,13,k,Murtaza,5/5 Stars,27-04-21,Highly recommended,Karachi
k2243,k13,2243,13,k,Muhammad,5/5 Stars,26-04-21,Ache samose the,Karachi
k2244,k13,2244,13,k,Sara,3/5 Stars,24-04-21,"Ordered one bite samosa. It was good. Will order again , hopefully",Karachi
k2245,k13,2245,13,k,Muhammad,5/5 Stars,23-04-21,Aloo samosa was very tasty likin ap half dozen samosas ka bhi option nikale,Karachi
k2246,k13,2246,13,k,Mohammed,1/5 Stars,22-04-21,"Loru khali wontons pakradiye....
Kaash ek lanat ka bhi option hota🤬🤬
Paisay thoray ziyada Le lo magar cheez tou achi do",Karachi
k2247,k13,2247,13,k,Shoaib,5/5 Stars,22-04-21,"I Ordered Roll and One Bite Samosa
Like it 👍",Karachi
k2248,k13,2248,13,k,Roha,5/5 Stars,21-04-21,Tasty 👍,Karachi
k2249,k13,2249,13,k,Hina,5/5 Stars,21-04-21,Very tasty chicken mint roll and wonton,Karachi
k2250,k13,2250,13,k,Furqan,5/5 Stars,19-04-21,"Good taste , fresh and very juicey",Karachi
k2251,k13,2251,13,k,SÝëdŽõHåíß,5/5 Stars,19-04-21,Fair as per the price... Mint roll and Qeema samosa was really tasteful... will order more soon ❤️,Karachi
k2252,k13,2252,13,k,Omer,4/5 Stars,18-04-21,"Please make sure the frozen item we buy, do not stick together, as it becomes a hassle to take them all out individually.",Karachi
k2253,k13,2253,13,k,Atif,1/5 Stars,17-04-21,Ache nhi thy samose,Karachi
k2254,k13,2254,13,k,Osama,3/5 Stars,14-04-21,behtarein mint roll and qeema ka samosa tha. But meine chicken cheese balls mangae the not samosa !!,Karachi
k2255,k13,2255,13,k,Rizvana,5/5 Stars,10-04-21,Best as always 👍,Karachi
k2256,k13,2256,13,k,Tuba,1/5 Stars,07-04-21,The samosas they send are rotten and smelly,Karachi
k2257,k13,2257,13,k,Duaa,5/5 Stars,17-03-21,Quantity bhot kam hai paise bhot zyada,Karachi
k2258,k13,2258,13,k,UrRehman,5/5 Stars,23-02-21,"Wowww for items ...u did a good job  ,everything is perfect taste and size ...keep it up",Karachi
k2259,k13,2259,13,k,Amna,5/5 Stars,14-01-21,Bohat achi deals thi phir se karen plz bohat testy yummy chizen best of luck,Karachi
k2260,k13,2260,13,k,Muhammad,5/5 Stars,12-01-21,nice 👍 keep it up,Karachi
k2261,k13,2261,13,k,Aaisha,5/5 Stars,09-01-21,Abhi tak khaya nahi ferozen item hai aik aik inch k samosy hai 🙄,Karachi
k2262,k13,2262,13,k,Aleeza,5/5 Stars,04-01-21,Ordered 1 dozen chicken nuggets. So fresh and tasty!,Karachi
k2263,k13,2263,13,k,Rizvana,5/5 Stars,25-12-20,👍,Karachi
k2264,k13,2264,13,k,Rizvana,5/5 Stars,22-12-20,👍👍,Karachi
k2265,k13,2265,13,k,Nida,5/5 Stars,21-12-20,havent taste it yet but i am rating you 5 stars - hopefully i wont regret,Karachi
k2266,k13,2266,13,k,Sumair,3/5 Stars,13-12-20,Small in size and just ok,Karachi
k2267,k13,2267,13,k,Warda,3/5 Stars,13-12-20,Cheese jab dalni nai hoti wontons ma to na liyan kindly...or mixture b itni kanjoosi  sa dala ha,Karachi
k2268,k15,2268,15,k,Amir,5/5 Stars,27-06-21,Niceeee,Karachi
k2269,k15,2269,15,k,Filza,4/5 Stars,02-06-21,Junior burger,Karachi
k2270,k15,2270,15,k,Ahsan,3/5 Stars,01-06-21,Good,Karachi
k2271,k15,2271,15,k,Sana,1/5 Stars,30-05-21,Food was uncooked,Karachi
k2272,k17,2272,17,k,Sumaira,1/5 Stars,11-09-21,Very bad and smelly porries using very old oil to fry,Karachi
