linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
4,Asim,1/5 Stars,08-02-20,"Very bad experience, i order beef pizza and they delivered chicken pizza which had very bad quality! Don't order from this restaurant again .",Islamabad
5,Haider,3/5 Stars,14-09-21,Food was too spicy,Islamabad
5,Rida,5/5 Stars,04-09-21,Ordered Kung Pao Chicken with Egg Fried Rice. It was fresh and tasted good. Standard is back to being okay as usual again.,Islamabad
5,kanwal,2/5 Stars,04-09-21,I have been ordering from them for some now and their quality of food has dropped. There was large stapple pin in my food and tofu was stale and tasted bad.,Islamabad
5,Ayesha,1/5 Stars,31-08-21,Worst experience ever.,Islamabad
5,Tahir,1/5 Stars,30-08-21,It seems someone just started cooking,Islamabad
5,Amer,5/5 Stars,30-08-21,"Ordered from this place a couple of times and the quality of food is excellent. However, just want to point out that Kung Pao has peanuts in it which were missing in the one I ordered.",Islamabad
5,Sundas,3/5 Stars,29-08-21,Food wasn’t that fresh,Islamabad
5,Rida,4/5 Stars,27-08-21,"Okay and fresh. Still messing with my order. Acha khassa jaa raha tha mamla, achanak aap logon ko zidd ho gayi hay mujhsay.",Islamabad
5,Ibrahim,5/5 Stars,25-08-21,Good food,Islamabad
5,Danish,3/5 Stars,25-08-21,"The taste was alright. Egg fried rice were basically vegetable rice. There was however a strong aftertaste in the chicken which wasn't pleasant.

Not bad but nothing special.",Islamabad
5,Rida,1/5 Stars,21-08-21,Half of my Chicken Chilli Dry was missing!! And there was no plastic wrap over the containers. First time I had a problem with this place and it's disappointing.,Islamabad
5,Syed,3/5 Stars,21-08-21,More haddi less chicken,Islamabad
5,Imtiaz,5/5 Stars,20-08-21,Absolutely fabulous,Islamabad
5,Rida,4/5 Stars,16-08-21,Ordered a Hot n Sour. It was nice as always. Just needs slight improvement to taste. 🤗,Islamabad
5,Taha,5/5 Stars,16-08-21,No fork and spoon though.,Islamabad
5,Abdul,1/5 Stars,15-08-21,"Worst food, expired beef, noodles without chicken and just 2 mushroom pieces. Are you guys serious? 800 for this 50 Rs noodles?? Have to throw beef chilli and noodles straightaway. Not buying anymore from you.",Islamabad
5,Arsalan,5/5 Stars,14-08-21,Authentic Asian foods. I ordered the Crispy beef and Kung pao chicken and both of them were delicious and flavorful. Authentic Chinese food flavor and smell. Highly recommended.,Islamabad
5,Rabia,1/5 Stars,09-08-21,Pathetic smelling beef. Wasnt edible. Could not eat it. Threw it away. Stayed hungry,Islamabad
5,Zubia,3/5 Stars,09-08-21,Food was so so,Islamabad
5,Abdul,5/5 Stars,09-08-21,Good chinese food.,Islamabad
5,Zahid,5/5 Stars,09-08-21,Best food....economical rates,Islamabad
5,moiz,2/5 Stars,05-08-21,baasi khana,Islamabad
5,Rida,5/5 Stars,04-08-21,"Ordered Chicken Chilli Vegetable with Egg Fried Rice and Hot n Sour and Chicken Corn Soup. All tasted good, was fresh, was clean and I am very happy. Thank you. Keep it up!",Islamabad
5,Ushna,1/5 Stars,29-07-21,Didnt like this food.,Islamabad
5,Glowing,5/5 Stars,29-07-21,Great taste.!! Hot wings and dumplings were so amazing... Gonna reorder it soon!,Islamabad
5,Mariam,5/5 Stars,29-07-21,Quantity issues,Islamabad
5,Laiba,4/5 Stars,29-07-21,Delicious,Islamabad
5,Rida,5/5 Stars,26-07-21,"Ordered Chicken Chilli Dry with Egg Fried Rice, Hot and Sour soup and PP Special Soup. All was fresh and tasted great. Kee up the good work and don't change.",Islamabad
5,Annas,5/5 Stars,26-07-21,Really good and tasty,Islamabad
5,Wajid,2/5 Stars,24-07-21,"I regularly place order on Ping-Pong. The food quality varies. But todays food was a waste of money and our lunch was ruined. Chicken Munchurian was full of vinegar. I wish the cook had tasted it before sendong to us. The sesame chicken was bone dry, chewy and tasteless. The rice quality and quantity was also not upto the mark.
With such food quality, this resturant will surely not remain on my choice list.
Unless some responsible person at this restaurant looks into ensuring consistency in food quality, their business will go nose down and that will be a shame.",Islamabad
5,Murad,3/5 Stars,19-07-21,It didn't pack vegetables rice as per my choice but noodles.,Islamabad
5,M,1/5 Stars,14-07-21,"Pathetic, smelly food. Total waste of money. Beef was not well cooked either. I wonder if the Cheff knows about Chinese cuisine.",Islamabad
5,Aisha,1/5 Stars,10-07-21,Food was smelly and had chichra pathetic,Islamabad
5,Barika,1/5 Stars,10-07-21,Stale food!!! Smelled old tasted old tossed - delivered over an hour late,Islamabad
5,Nayab,5/5 Stars,09-07-21,Dumplings 👍👍👍,Islamabad
5,ShehryarAkbar,5/5 Stars,09-07-21,Great 👍,Islamabad
5,Shalalay,1/5 Stars,08-07-21,Seasame chicken was dry and burnt. I specifically asked them not to include cabbage in the chowmein and they did. The chowmein was full of vegetables and very less noodles.,Islamabad
5,Sajjl,5/5 Stars,07-07-21,"Perfect! The quantity was good, the taste divine!",Islamabad
5,Nadeem,2/5 Stars,05-07-21,"not up to the mark this time , they used to be really good, food used to be fresh snd every dish used to taste different, this time there were too many spices ans sauses and all mixed up.",Islamabad
5,Rida,5/5 Stars,04-07-21,Ordered Hot n Sour soup and King Pao Fish with Egg fried rice. Instructions were followed and the quality and taste were great as always. Thanks.,Islamabad
5,MohammedOmer,4/5 Stars,03-07-21,Too spicey!!! Requested not to put any chillies but request was ignored.,Islamabad
5,Syed,4/5 Stars,03-07-21,At time Don't really read the instructions given by customer on the order. And too spicy,Islamabad
5,S,1/5 Stars,27-06-21,Aoa Ping pong I ordered 3 dishes from you via panda. Two were good (honey crunchy chicken. Pepper beef) but the chicken chow mein tasted good but smelt bad so I had only a little. My guest ate more and complained of digestive problem. It was most embarrassing. I still have some left in case you want to check. Please tell me what to do. This has never happened with other deliveries. Salam Dr Khan,Islamabad
5,Imran,5/5 Stars,25-06-21,Excellent,Islamabad
6,Ahmed,1/5 Stars,13-09-21,Order sausage but it was chicken tikka and so spicy,Islamabad
